2025-07-15 15:14:23,076 INFO    MainThread:61671 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-07-15 15:14:23,077 INFO    MainThread:61671 [wandb_setup.py:_flush():70] Configure stats pid to 61671
2025-07-15 15:14:23,077 INFO    MainThread:61671 [wandb_setup.py:_flush():70] Loading settings from /Users/xrong8/.config/wandb/settings
2025-07-15 15:14:23,077 INFO    MainThread:61671 [wandb_setup.py:_flush():70] Loading settings from /Users/xrong8/Documents/CXRProject/ConeClustering/wandb/settings
2025-07-15 15:14:23,077 INFO    MainThread:61671 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-07-15 15:14:23,077 INFO    MainThread:61671 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/xrong8/Documents/CXRProject/ConeClustering/wandb/run-20250715_151423-sjw342fk/logs/debug.log
2025-07-15 15:14:23,077 INFO    MainThread:61671 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/xrong8/Documents/CXRProject/ConeClustering/wandb/run-20250715_151423-sjw342fk/logs/debug-internal.log
2025-07-15 15:14:23,077 INFO    MainThread:61671 [wandb_init.py:init():852] calling init triggers
2025-07-15 15:14:23,077 INFO    MainThread:61671 [wandb_init.py:init():857] wandb.init called with sweep_config: {'alpha': 2.714788903475146}
config: {'_wandb': {}}
2025-07-15 15:14:23,077 INFO    MainThread:61671 [wandb_init.py:init():893] starting backend
2025-07-15 15:14:23,077 INFO    MainThread:61671 [wandb_init.py:init():897] sending inform_init request
2025-07-15 15:14:23,103 INFO    MainThread:61671 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-07-15 15:14:23,103 INFO    MainThread:61671 [wandb_init.py:init():907] backend started and connected
2025-07-15 15:14:23,104 INFO    MainThread:61671 [wandb_run.py:_config_callback():1436] config_cb None None {'alpha': 2.714788903475146}
2025-07-15 15:14:23,106 INFO    MainThread:61671 [wandb_init.py:init():1005] updated telemetry
2025-07-15 15:14:23,124 INFO    MainThread:61671 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-07-15 15:14:23,378 INFO    MainThread:61671 [wandb_init.py:init():1104] starting run threads in backend
2025-07-15 15:14:24,246 INFO    MainThread:61671 [wandb_run.py:_console_start():2573] atexit reg
2025-07-15 15:14:24,247 INFO    MainThread:61671 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-07-15 15:14:24,247 INFO    MainThread:61671 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-07-15 15:14:24,247 INFO    MainThread:61671 [wandb_run.py:_redirect():2513] Redirects installed.
2025-07-15 15:14:24,248 INFO    MainThread:61671 [wandb_init.py:init():1150] run started, returning control to user process
2025-07-15 15:14:25,249 INFO    MsgRouterThr:61671 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
